ID,HCD.1,HCD.2,HCD.3,HCD.BSA.1,HCD.BSA.2,HCD.BSA.3,SD.1,SD.2,SD.3,SD.BSA.1,SD.BSA.2,SD.BSA.3
Acinetobacter wuhouensis,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Actinoalloteichus hoggarensis,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Actinoalloteichus hymeniacidonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Actinobacillus delphinicola,1.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0
Actinobacillus equuli,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Actinobacillus indolicus,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Actinobacillus pleuropneumoniae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinobacillus porcitonsillarum,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Actinobaculum sp. 313,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Actinomadura amylolytica,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Actinomadura sp. NAK00032,7.0,4.0,2.0,3.0,4.0,4.0,7.0,5.0,4.0,2.0,4.0,5.0
Actinomadura sp. WMMA1423,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Actinomadura sp. WMMB 499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Actinomadura verrucosospora,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
Actinomarinicola tropica,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Actinomyces gaoshouyii,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Actinomyces howellii,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Actinomyces israelii,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Actinomyces pacaensis,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0
Actinomyces qiguomingii,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Actinomyces radicidentis,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Actinomyces slackii,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Actinomyces sp. 2129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Actinomyces sp. 299,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0
Actinomyces sp. 432,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Actinomyces sp. Chiba101,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
Actinomyces sp. Z16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
Actinomyces sp. ZJ34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Actinomyces sp. ZJ750,1.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0
Actinomyces sp. dk561,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Actinomyces sp. oral taxon 169,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0
Actinomyces sp. oral taxon 171,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Actinomyces sp. oral taxon 414,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Actinomyces sp. oral taxon 897,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Actinomyces sp. zg-332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Actinomyces sp. zg-993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinomyces tangfeifanii,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Actinomyces viscosus,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Actinoplanes derwentensis,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Actinoplanes friuliensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Actinoplanes missouriensis,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Actinoplanes sp. N902-109,1.0,1.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0
